#FASTQ	SAMPLEID	DATASET	url
ERR188435_2.fastq.gz	NA11830	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188435/ERR188435_2.fastq.gz
ERR188438_1.fastq.gz	NA12272	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188438/ERR188438_1.fastq.gz
ERR188438_2.fastq.gz	NA12272	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188438/ERR188438_2.fastq.gz
ERR188441_1.fastq.gz	NA12348	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188441/ERR188441_1.fastq.gz
ERR188441_2.fastq.gz	NA12348	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188441/ERR188441_2.fastq.gz
ERR188446_1.fastq.gz	NA12347	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188446/ERR188446_1.fastq.gz
ERR188446_2.fastq.gz	NA12347	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188446/ERR188446_2.fastq.gz
ERR188467_1.fastq.gz	NA12286	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188467/ERR188467_1.fastq.gz
ERR188467_2.fastq.gz	NA12286	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188467/ERR188467_2.fastq.gz
ERR188474_1.fastq.gz	NA07051	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188474/ERR188474_1.fastq.gz
